expansion of regression band in time (K = 2, 3, 5 times). "wn" is for white noise

    alpha   K = 2     K = 3     K = 5
------------------------------------------- n0 = 100
    wn      160.41    218.97    334.56
    0.50    174.56    243.46    378.07
    0.55    177.42    248.38    386.78
    0.60    180.76    254.10    396.89
    0.65    184.72    260.86    408.83
    0.70    189.43    268.88    422.97
    0.75    195.20    278.68    440.23
    0.80    202.26    290.62    461.23
    0.85    210.01    303.70    484.18
    0.90    220.14    320.72    514.02
    0.95    231.07    339.03    546.07
    1.00    245.63    363.34    588.56
    1.05    261.86    390.33    635.67
    1.10    287.12    432.24    708.71
    1.15    307.97    466.71    768.72
    1.20    340.19    519.86    861.18
------------------------------------------- n0 = 200
    wn      322.22    439.75    671.78
    0.50    350.05    487.95    757.44
    0.55    355.78    497.80    774.86
    0.60    362.03    508.51    793.81
    0.65    369.62    521.48    816.72
    0.70    378.74    537.02    844.13
    0.75    389.36    555.06    875.91
    0.80    402.51    577.35    915.10
    0.85    416.39    600.78    956.26
    0.90    435.15    632.35    1011.63
    0.95    453.89    663.78    1066.67
    1.00    479.36    706.36    1141.15
    1.05    506.82    752.13    1221.09
    1.10    551.43    826.23    1350.33
    1.15    584.92    881.70    1446.98
    1.20    637.54    968.66    1598.34
------------------------------------------- n0 = 300
    wn      484.02    660.53     1009.01
    0.50    525.01    731.54     1135.20
    0.55    533.84    746.72     1162.07
    0.60    542.73    761.95     1189.01
    0.65    553.99    781.19     1223.00
    0.70    567.14    803.63     1262.58
    0.75    582.12    829.09     1307.43
    0.80    601.05    861.16     1363.86
    0.85    620.55    894.12     1421.76
    0.90    647.24    939.06     1500.61
    0.95    672.95    982.21     1576.21
    1.00    708.30    1041.37    1679.73
    1.05    744.40    1101.60    1784.98
    1.10    806.69    1205.18    1965.72
    1.15    850.43    1277.72    2092.16
    1.20    919.92    1392.69    2292.36
------------------------------------------- n0 = 500
    wn      807.63     1102.10    1683.47
    0.50    874.41     1217.79    1889.09
    0.55    889.36     1243.49    1934.60
    0.60    903.29     1267.39    1976.87
    0.65    921.01     1297.69    2030.39
    0.70    941.74     1333.05    2092.80
    0.75    965.67     1373.76    2164.55
    0.80    995.16     1423.78    2252.57
    0.85    1024.01    1472.56    2338.31
    0.90    1065.70    1542.84    2461.66
    0.95    1104.04    1607.27    2574.60
    1.00    1156.15    1694.58    2727.46
    1.05    1206.97    1779.50    2875.94
    1.10    1301.90    1937.60    3152.00
    1.15    1361.37    2036.38    3324.28
    1.20    1459.95    2199.73    3608.91
